Year,Month,Region,Commodity,Unit,Priceflag,Pricetype,Currency,Price,Usdprice,Amount Produced(Tonnes),Annual Rainfall,Annual Temperature,,,,,,,,,,,,,,,,
2006    ,January,Western,Maize,KG,actual,Retail,KES,16.41,0.275,14612.4,58,22,,,,,,,,,,,,,,,,
2006    ,February,Western,Maize,KG,actual,Retail,KES,16.21,0.272,14612.4,62,22,,,,,,,,,,,,,,,,
2006    ,March,Western,Maize,KG,actual,Retail,KES,16.31,0.274,19483.2,93,22,,,,,,,,,,,,,,,,
2006    ,April,Western,Maize,KG,actual,Retail,KES,16.91,0.284,48708,179,21,,,,,,,,,,,,,,,,
2006    ,May,Western,Maize,KG,actual,Retail,KES,16.71,0.28,58449.6,154,21,,,,,,,,,,,,,,,,
2006    ,June,Western,Maize,KG,actual,Retail,KES,16.26,0.273,29224.8,130,20,,,,,,,,,,,,,,,,
2006    ,July,Western,Maize,KG,actual,Retail,KES,16.36,0.275,29224.8,110,20,,,,,,,,,,,,,,,,
2006    ,August,Western,Maize,KG,actual,Retail,KES,16.61,0.279,24354,105,20,,,,,,,,,,,,,,,,
2006    ,September,Western,Maize,KG,actual,Retail,KES,16.81,0.282,38966.4,111,21,,,,,,,,,,,,,,,,
2006    ,October ,Western,Maize,KG,actual,Retail,KES,16.51,0.277,58449.6,156,22,,,,,,,,,,,,,,,,
2006    ,November,Western,Maize,KG,actual,Retail,KES,16.21,0.272,58449.6,166,22,,,,,,,,,,,,,,,,
2006    ,December,Western,Maize,KG,actual,Retail,KES,16.41,0.275,43837.2,70,22,,,,,,,,,,,,,,,,
2007    ,January,Central,Maize,KG,actual,Retail,KES,22,0.2427,8118,50,17,,,,,,,,,,,,,,,,
2007    ,February,Central,Maize,KG,actual,Retail,KES,21.8,0.2404,8118,45,17,,,,,,,,,,,,,,,,
2007    ,March,Central,Maize,KG,actual,Retail,KES,21.9,0.2415,9734,100,17,,,,,,,,,,,,,,,,
2007    ,April,Central,Maize,KG,actual,Retail,KES,22.5,0.248,16236,150,16,,,,,,,,,,,,,,,,
2007    ,May,Central,Maize,KG,actual,Retail,KES,22.3,0.2458,16236,120,16,,,,,,,,,,,,,,,,
2007    ,June,Central,Maize,KG,actual,Retail,KES,21.85,0.241,8118,90,15,,,,,,,,,,,,,,,,
2007    ,July,Central,Maize,KG,actual,Retail,KES,21.95,0.2421,8118,85,15,,,,,,,,,,,,,,,,
2007    ,August,Central,Maize,KG,actual,Retail,KES,22.2,0.245,9734,80,15,,,,,,,,,,,,,,,,
2007    ,September,Central,Maize,KG,actual,Retail,KES,22.4,0.2472,16236,70,16,,,,,,,,,,,,,,,,
2007    ,October ,Central,Maize,KG,actual,Retail,KES,22.1,0.2438,19483,130,17,,,,,,,,,,,,,,,,
2007    ,November,Central,Maize,KG,actual,Retail,KES,21.8,0.2404,19483,140,17,,,,,,,,,,,,,,,,
2007    ,December,Central,Maize,KG,actual,Retail,KES,22,0.2427,22730,95,17,,,,,,,,,,,,,,,,
2007    ,January,Coast,Maize,KG,actual,Retail,KES,16.41,0.2847,8786.38,23,27,,,,,,,,,,,,,,,,
2007    ,February,Coast,Maize,KG,actual,Retail,KES,16.21,0.2812,8786.38,13,27,,,,,,,,,,,,,,,,
2007    ,March,Coast,Maize,KG,actual,Retail,KES,16.31,0.2829,8786.38,42,27,,,,,,,,,,,,,,,,
2007    ,April,Coast,Maize,KG,actual,Retail,KES,16.91,0.2932,14643.97,108,26,,,,,,,,,,,,,,,,
2007    ,May,Coast,Maize,KG,actual,Retail,KES,16.71,0.29,14643.97,142,26,,,,,,,,,,,,,,,,
2007    ,June,Coast,Maize,KG,actual,Retail,KES,16.26,0.282,8786.38,95,26,,,,,,,,,,,,,,,,
2007    ,July,Coast,Maize,KG,actual,Retail,KES,16.36,0.2837,8786.38,88,25,,,,,,,,,,,,,,,,
2007    ,August,Coast,Maize,KG,actual,Retail,KES,16.61,0.288,8786.38,102,25,,,,,,,,,,,,,,,,
2007    ,September,Coast,Maize,KG,actual,Retail,KES,16.81,0.2913,11715.18,68,25,,,,,,,,,,,,,,,,
2007    ,October ,Coast,Maize,KG,actual,Retail,KES,16.51,0.2863,14643.97,99,27,,,,,,,,,,,,,,,,
2007    ,November,Coast,Maize,KG,actual,Retail,KES,16.21,0.2812,14643.97,165,27,,,,,,,,,,,,,,,,
2007    ,December,Coast,Maize,KG,actual,Retail,KES,16.41,0.2847,8786.38,87,27,,,,,,,,,,,,,,,,
2007    ,January,Eastern ,Maize,KG,actual,Retail,KES,29,0.2523,14643.97,45,25,,,,,,,,,,,,,,,,
2007    ,February,Eastern ,Maize,KG,actual,Retail,KES,28.5,0.2478,14643.97,35,26,,,,,,,,,,,,,,,,
2007    ,March,Eastern ,Maize,KG,actual,Retail,KES,28.7,0.2496,20501.55,110,26,,,,,,,,,,,,,,,,
2007    ,April,Eastern ,Maize,KG,actual,Retail,KES,29.7,0.2583,29287.93,150,24,,,,,,,,,,,,,,,,
2007    ,May,Eastern ,Maize,KG,actual,Retail,KES,29.5,0.2565,29287.93,140,24,,,,,,,,,,,,,,,,
2007    ,June,Eastern ,Maize,KG,actual,Retail,KES,28.6,0.2487,20501.55,75,23,,,,,,,,,,,,,,,,
2007    ,July,Eastern ,Maize,KG,actual,Retail,KES,28.8,0.2504,20501.55,60,22,,,,,,,,,,,,,,,,
2007    ,August,Eastern ,Maize,KG,actual,Retail,KES,29.3,0.2557,20501.55,50,22,,,,,,,,,,,,,,,,
2007    ,September,Eastern ,Maize,KG,actual,Retail,KES,29.5,0.2565,29287.93,60,23,,,,,,,,,,,,,,,,
2007    ,October ,Eastern ,Maize,KG,actual,Retail,KES,29.1,0.253,35145.52,130,24,,,,,,,,,,,,,,,,
2007    ,November,Eastern ,Maize,KG,actual,Retail,KES,28.5,0.2478,35145.52,140,25,,,,,,,,,,,,,,,,
2007    ,December,Eastern ,Maize,KG,actual,Retail,KES,29,0.2523,23430.34,70,25,,,,,,,,,,,,,,,,
2007    ,January,Nairobi,Maize,KG,actual,Retail,KES,17.83,0.3119,5125.39,50,20,,,,,,,,,,,,,,,,
2007    ,February,Nairobi,Maize,KG,actual,Retail,KES,17.63,0.3084,5125.39,45,20,,,,,,,,,,,,,,,,
2007    ,March,Nairobi,Maize,KG,actual,Retail,KES,17.73,0.3102,5125.39,95,19,,,,,,,,,,,,,,,,
2007    ,April,Nairobi,Maize,KG,actual,Retail,KES,18.13,0.3172,6590.78,150,18,,,,,,,,,,,,,,,,
2007    ,May,Nairobi,Maize,KG,actual,Retail,KES,18.03,0.3155,6590.78,120,18,,,,,,,,,,,,,,,,
2007    ,June,Nairobi,Maize,KG,actual,Retail,KES,17.53,0.3067,5857.59,90,19,,,,,,,,,,,,,,,,
2007    ,July,Nairobi,Maize,KG,actual,Retail,KES,17.68,0.3093,5857.59,85,19,,,,,,,,,,,,,,,,
2007    ,August,Nairobi,Maize,KG,actual,Retail,KES,17.93,0.314,5857.59,80,19,,,,,,,,,,,,,,,,
2007    ,September,Nairobi,Maize,KG,actual,Retail,KES,18.13,0.3172,5857.59,70,19,,,,,,,,,,,,,,,,
2007    ,October ,Nairobi,Maize,KG,actual,Retail,KES,17.93,0.314,6590.78,130,20,,,,,,,,,,,,,,,,
2007    ,November,Nairobi,Maize,KG,actual,Retail,KES,17.73,0.3102,6590.78,140,20,,,,,,,,,,,,,,,,
2007    ,December,Nairobi,Maize,KG,actual,Retail,KES,17.83,0.3119,5125.39,95,20,,,,,,,,,,,,,,,,
2007    ,January,North Eastern,Maize,KG,actual,Retail,KES,13.47,0.2405,10543.65,92.34,32.95,,,,,,,,,,,,,,,,
2007    ,February,North Eastern,Maize,KG,actual,Retail,KES,12.65,0.2268,10612.73,89.71,32.81,,,,,,,,,,,,,,,,
2007    ,March,North Eastern,Maize,KG,actual,Retail,KES,12.92,0.2316,10738.47,86.47,32.71,,,,,,,,,,,,,,,,
2007    ,April,North Eastern,Maize,KG,actual,Retail,KES,13.35,0.2383,13372.87,84.29,32.6,,,,,,,,,,,,,,,,
2007    ,May,North Eastern,Maize,KG,actual,Retail,KES,13.22,0.2361,13271.63,81.23,32.54,,,,,,,,,,,,,,,,
2007    ,June,North Eastern,Maize,KG,actual,Retail,KES,12.96,0.2314,10561.95,77.81,32.49,,,,,,,,,,,,,,,,
2007    ,July,North Eastern,Maize,KG,actual,Retail,KES,13.19,0.2354,10654.82,74.29,32.35,,,,,,,,,,,,,,,,
2007    ,August,North Eastern,Maize,KG,actual,Retail,KES,12.89,0.2308,10738.32,72.89,32.29,,,,,,,,,,,,,,,,
2007    ,September,North Eastern,Maize,KG,actual,Retail,KES,13.29,0.2373,10578.63,69.23,32.18,,,,,,,,,,,,,,,,
2007    ,October ,North Eastern,Maize,KG,actual,Retail,KES,12.76,0.2279,13235.69,66.74,32.14,,,,,,,,,,,,,,,,
2007    ,November,North Eastern,Maize,KG,actual,Retail,KES,13.09,0.2337,13252.23,62.31,32.09,,,,,,,,,,,,,,,,
2007    ,December,North Eastern,Maize,KG,actual,Retail,KES,13.01,0.2323,10733.62,58.49,32.03,,,,,,,,,,,,,,,,
2007    ,January,Nyanza,Maize,KG,actual,Retail,KES,17.32,0.2291,11662.52,189.47,27.89,,,,,,,,,,,,,,,,
2007    ,February,Nyanza,Maize,KG,actual,Retail,KES,16.53,0.2187,11785.42,172.34,27.75,,,,,,,,,,,,,,,,
2007    ,March,Nyanza,Maize,KG,actual,Retail,KES,16.81,0.2223,14058.21,168.23,27.61,,,,,,,,,,,,,,,,
2007    ,April,Nyanza,Maize,KG,actual,Retail,KES,17.48,0.2312,23430.34,156.72,27.54,,,,,,,,,,,,,,,,
2007    ,May,Nyanza,Maize,KG,actual,Retail,KES,17.22,0.2277,23491.22,145.68,27.43,,,,,,,,,,,,,,,,
2007    ,June,Nyanza,Maize,KG,actual,Retail,KES,16.75,0.2215,14100.67,133.45,27.32,,,,,,,,,,,,,,,,
2007    ,July,Nyanza,Maize,KG,actual,Retail,KES,16.69,0.2207,14234.68,123.56,27.15,,,,,,,,,,,,,,,,
2007    ,August,Nyanza,Maize,KG,actual,Retail,KES,17.35,0.2295,14167.34,112.48,27.02,,,,,,,,,,,,,,,,
2007    ,September,Nyanza,Maize,KG,actual,Retail,KES,16.84,0.2228,23406.44,101.45,26.87,,,,,,,,,,,,,,,,
2007    ,October ,Nyanza,Maize,KG,actual,Retail,KES,16.99,0.2247,28103.34,89.34,26.72,,,,,,,,,,,,,,,,
2007    ,November,Nyanza,Maize,KG,actual,Retail,KES,16.55,0.219,28112.35,78.46,26.57,,,,,,,,,,,,,,,,
2007    ,December,Nyanza,Maize,KG,actual,Retail,KES,17.11,0.2262,18744.14,65.39,26.43,,,,,,,,,,,,,,,,
2007    ,January,Rift Valley,Maize,KG,actual,Retail,KES,17.76,0.3478,41301.98,196.75,19.95,,,,,,,,,,,,,,,,
2007    ,February,Rift Valley,Maize,KG,actual,Retail,KES,18.44,0.3611,41665.36,182.45,19.74,,,,,,,,,,,,,,,,
2007    ,March,Rift Valley,Maize,KG,actual,Retail,KES,18.01,0.3528,54981.31,171.53,19.58,,,,,,,,,,,,,,,,
2007    ,April,Rift Valley,Maize,KG,actual,Retail,KES,17.63,0.3453,165207.12,163.22,19.45,,,,,,,,,,,,,,,,
2007    ,May,Rift Valley,Maize,KG,actual,Retail,KES,17.95,0.3517,206510.66,152.33,19.21,,,,,,,,,,,,,,,,
2007    ,June,Rift Valley,Maize,KG,actual,Retail,KES,18.23,0.357,68830.82,138.65,18.95,,,,,,,,,,,,,,,,
2007    ,July,Rift Valley,Maize,KG,actual,Retail,KES,17.85,0.3447,69445.93,128.34,18.62,,,,,,,,,,,,,,,,
2007    ,August,Rift Valley,Maize,KG,actual,Retail,KES,17.98,0.3524,69352.73,117.45,18.51,,,,,,,,,,,,,,,,
2007    ,September,Rift Valley,Maize,KG,actual,Retail,KES,18.07,0.3542,110097.86,105.76,18.32,,,,,,,,,,,,,,,,
2007    ,October ,Rift Valley,Maize,KG,actual,Retail,KES,17.89,0.3503,206505.71,94.68,18.15,,,,,,,,,,,,,,,,
2007    ,November,Rift Valley,Maize,KG,actual,Retail,KES,18.12,0.3549,206699.38,81.24,17.89,,,,,,,,,,,,,,,,
2007    ,December,Rift Valley,Maize,KG,actual,Retail,KES,17.96,0.3518,137924.25,69.33,17.68,,,,,,,,,,,,,,,,
2007    ,January,Western,Maize,KG,actual,Retail,KES,21.83,0.2098,15827.48,199.55,22.91,,,,,,,,,,,,,,,,
2007    ,February,Western,Maize,KG,actual,Retail,KES,21.57,0.2073,15883.55,187.24,22.67,,,,,,,,,,,,,,,,
2007    ,March,Western,Maize,KG,actual,Retail,KES,22.29,0.2143,21065.28,173.42,22.45,,,,,,,,,,,,,,,,
2007    ,April,Western,Maize,KG,actual,Retail,KES,21.98,0.2112,52888.18,159.87,22.25,,,,,,,,,,,,,,,,
2007    ,May,Western,Maize,KG,actual,Retail,KES,22.31,0.2144,63335.24,147.45,22.11,,,,,,,,,,,,,,,,
2007    ,June,Western,Maize,KG,actual,Retail,KES,22.06,0.2119,31701.56,136.33,21.98,,,,,,,,,,,,,,,,
2007    ,July,Western,Maize,KG,actual,Retail,KES,21.84,0.2099,31654.96,122.48,21.83,,,,,,,,,,,,,,,,
2007    ,August,Western,Maize,KG,actual,Retail,KES,22.22,0.2135,26396.04,109.87,21.65,,,,,,,,,,,,,,,,
2007    ,September,Western,Maize,KG,actual,Retail,KES,21.69,0.2085,42192.52,96.74,21.49,,,,,,,,,,,,,,,,
2007    ,October ,Western,Maize,KG,actual,Retail,KES,22.44,0.2156,63352.87,85.33,21.34,,,,,,,,,,,,,,,,
2007    ,November,Western,Maize,KG,actual,Retail,KES,21.96,0.211,63477.94,71.65,21.15,,,,,,,,,,,,,,,,
2007    ,December,Western,Maize,KG,actual,Retail,KES,22.13,0.2128,47482.12,59.43,21.01,,,,,,,,,,,,,,,,
2007    ,January,Central,Maize,KG,actual,Retail,KES,17.12,0.2933,8786.38,193.55,19.87,,,,,,,,,,,,,,,,
2007    ,February,Central,Maize,KG,actual,Retail,KES,16.65,0.2853,8805.25,182.34,19.65,,,,,,,,,,,,,,,,
2007    ,March,Central,Maize,KG,actual,Retail,KES,17.02,0.2916,8792.45,170.45,19.46,,,,,,,,,,,,,,,,
2007    ,April,Central,Maize,KG,actual,Retail,KES,16.84,0.2887,13180.74,156.23,19.32,,,,,,,,,,,,,,,,
2007    ,May,Central,Maize,KG,actual,Retail,KES,17.24,0.2954,14643.97,142.45,19.12,,,,,,,,,,,,,,,,
2007    ,June,Central,Maize,KG,actual,Retail,KES,17.06,0.2924,8788.97,131.56,18.89,,,,,,,,,,,,,,,,
2007    ,July,Central,Maize,KG,actual,Retail,KES,17.19,0.2947,8796.34,118.67,18.62,,,,,,,,,,,,,,,,
2007    ,August,Central,Maize,KG,actual,Retail,KES,17.03,0.2917,8795.45,106.23,18.45,,,,,,,,,,,,,,,,
2007    ,September,Central,Maize,KG,actual,Retail,KES,16.97,0.2907,11715.18,95.67,18.24,,,,,,,,,,,,,,,,
2007    ,October ,Central,Maize,KG,actual,Retail,KES,16.99,0.291,14643.97,83.34,18.12,,,,,,,,,,,,,,,,
2007    ,November,Central,Maize,KG,actual,Retail,KES,17.15,0.2939,14644.65,70.23,17.95,,,,,,,,,,,,,,,,
2007    ,December,Central,Maize,KG,actual,Retail,KES,16.91,0.2899,10252.78,58.45,17.77,,,,,,,,,,,,,,,,
2008    ,January,Coast,Maize,KG,actual,Retail,KES,13.55,0.2167,9468.96,197.88,28.74,,,,,,,,,,,,,,,,
2008    ,February,Coast,Maize,KG,actual,Retail,KES,13.13,0.21,8292.34,183.64,28.39,,,,,,,,,,,,,,,,
2008    ,March,Coast,Maize,KG,actual,Retail,KES,13.38,0.214,8329.33,171.45,28.14,,,,,,,,,,,,,,,,
2008    ,April,Coast,Maize,KG,actual,Retail,KES,13.61,0.2177,11836.19,158.56,27.93,,,,,,,,,,,,,,,,
2008    ,May,Coast,Maize,KG,actual,Retail,KES,13.78,0.2204,11852.95,145.67,27.64,,,,,,,,,,,,,,,,
2008    ,June,Coast,Maize,KG,actual,Retail,KES,13.27,0.2123,9464.96,132.43,27.46,,,,,,,,,,,,,,,,
2008    ,July,Coast,Maize,KG,actual,Retail,KES,13.5,0.2159,9469.25,120.89,27.22,,,,,,,,,,,,,,,,
2008    ,August,Coast,Maize,KG,actual,Retail,KES,13.2,0.2111,8291.49,109.34,27.05,,,,,,,,,,,,,,,,
2008    ,September,Coast,Maize,KG,actual,Retail,KES,13.65,0.2183,9468.96,96.74,26.87,,,,,,,,,,,,,,,,
2008    ,October ,Coast,Maize,KG,actual,Retail,KES,13.45,0.2152,11836.19,83.56,26.65,,,,,,,,,,,,,,,,
2008    ,November,Coast,Maize,KG,actual,Retail,KES,13.11,0.2097,11853.47,70.89,26.48,,,,,,,,,,,,,,,,
2008    ,December,Coast,Maize,KG,actual,Retail,KES,13.25,0.212,8280.92,59.23,26.27,,,,,,,,,,,,,,,,
2008    ,January,Eastern,Maize,KG,actual,Retail,KES,17.32,0.4734,16570.66,199.55,24.91,,,,,,,,,,,,,,,,
2008    ,February,Eastern,Maize,KG,actual,Retail,KES,16.87,0.4613,16570.66,187.24,24.67,,,,,,,,,,,,,,,,
2008    ,March,Eastern,Maize,KG,actual,Retail,KES,17.04,0.4662,16570.66,173.42,24.45,,,,,,,,,,,,,,,,
2008    ,April,Eastern,Maize,KG,actual,Retail,KES,16.72,0.4571,21305.13,159.87,24.25,,,,,,,,,,,,,,,,
2008    ,May,Eastern,Maize,KG,actual,Retail,KES,17.21,0.4704,23672.37,147.45,24.11,,,,,,,,,,,,,,,,
2008    ,June,Eastern,Maize,KG,actual,Retail,KES,17.09,0.4671,18938.59,136.33,23.98,,,,,,,,,,,,,,,,
2008    ,July,Eastern,Maize,KG,actual,Retail,KES,17.15,0.4687,18938.59,122.48,23.83,,,,,,,,,,,,,,,,
2008    ,August,Eastern,Maize,KG,actual,Retail,KES,16.98,0.464,16570.66,109.87,23.65,,,,,,,,,,,,,,,,
2008    ,September,Eastern,Maize,KG,actual,Retail,KES,17.11,0.4675,21305.13,96.74,23.49,,,,,,,,,,,,,,,,
2008    ,October ,Eastern,Maize,KG,actual,Retail,KES,16.89,0.4618,23672.37,85.33,23.34,,,,,,,,,,,,,,,,
